Nº Ordem Compra;Seq.;Cód Serviço;DESCRIÇÃO PRODUTO OU SERVIÇO;Categoria do Serviço;Complemento da Descrição;Quantidade Pedida;U.M. O.C.;Valor do Rateio;Fornecedor;Fantasia Fornecedor;Projeto;Descr. Projeto;Fase;Descr. Fase;Conta Financeira;Conta Contábil;Usuário Comprador;Setor;Emissão;Consta na base de NF;Lançamentos NF na base (OC+item);Valor Rateio total (OC+item);Valor NF na base (OC+item);Diferença NF - Rateio (OC+item)
33264;4;0046;PASSAGENS;PASSAGENS;PASSAGENS - THIAGO NUNES;1,0;SV;2398,84;16013061;R3 VIAGENS TURISMO E EVENTOS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;2;3783,8500000000004;3783,8500000000004;0,0
33264;5;0046;PASSAGENS;PASSAGENS;PASSAGENS - THIAGO NUNES;1,0;SV;1385,01;16013061;R3 VIAGENS TURISMO E EVENTOS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;2;3783,8500000000004;3783,8500000000004;0,0
33264;6;0006;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO - RAPHAEL TAVARES;1,0;LOC;4463,25;16013061;R3 VIAGENS TURISMO E EVENTOS;10050;FORTES - ARAUCO;1;Hélice Contínua;2160;3058;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;4;15618,72;15618,720000000001;1,8189894035458565e-12
33264;7;0006;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO - CLAUDIO DA ENCARNAÇÃO;1,0;LOC;4446,6;16013061;R3 VIAGENS TURISMO E EVENTOS;10050;FORTES - ARAUCO;1;Hélice Contínua;2160;3058;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;4;15618,72;15618,720000000001;1,8189894035458565e-12
33264;8;0026;MULTAS E TAXAS;MULTAS E TAXAS;MULTAS E TAXAS - MAURO FARIAS;1,0;SV;8671,05;16013061;R3 VIAGENS TURISMO E EVENTOS;10050;FORTES - ARAUCO;1;Hélice Contínua;1354;3168;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;1;8671,05;8671,05;0,0
33264;9;0006;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO -  EDEVALDO DE OLIVEIRA;1,0;LOC;3774,9;16013061;R3 VIAGENS TURISMO E EVENTOS;10050;FORTES - ARAUCO;1;Hélice Contínua;2160;3058;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;4;15618,72;15618,720000000001;1,8189894035458565e-12
33264;10;0328;HOSPEDAGEM QUADRUPLO;HOSPEDAGEM QUADRUPLO;HOSPEDAGEM QUADRUPLO - JANIEDSON PEREIRA;5,0;SV;667,5;16013061;R3 VIAGENS TURISMO E EVENTOS;10046;;1;Hélice Contínua;2650;3235;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;4;2670,0;2670,0;0,0
33264;11;0328;HOSPEDAGEM QUADRUPLO;HOSPEDAGEM QUADRUPLO;HOSPEDAGEM QUADRUPLO - ELIEL FERREIRA;5,0;SV;667,5;16013061;R3 VIAGENS TURISMO E EVENTOS;10046;;1;Hélice Contínua;2650;3235;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;4;2670,0;2670,0;0,0
33264;12;0328;HOSPEDAGEM QUADRUPLO;HOSPEDAGEM QUADRUPLO;HOSPEDAGEM QUADRUPLO - EZEQUIEL SILVA;5,0;SV;667,5;16013061;R3 VIAGENS TURISMO E EVENTOS;10046;;1;Hélice Contínua;2650;3235;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;4;2670,0;2670,0;0,0
33265;1;0006;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO - JORGE SANTANA;1,0;LOC;2870,4;16013061;R3 VIAGENS TURISMO E EVENTOS;30032;ÁPIA - SAMARCO MARIANA_MG;1;Lama;2160;3058;Giovanna Rosa Matricula 3241 Geofix;Lama;2025-11-10 00:00:00;Sim;1;2870,4;2870,4;0,0
